No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
645,Panduan penilaian,SMKT-AD/KUR/645/2025,09 May 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
646,Kartu ujian siswa,SMKT-AD/SW/646/2025,13 August 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
647,Data sertifikasi guru,SMKT-AD/KPG/647/2025,14 April 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
648,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/648/2025,22 August 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
649,Laporan realisasi anggaran,SMKT-AD/KUG/649/2025,09 September 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
650,Daftar fasilitas olahraga,SMKT-AD/SRP/650/2025,06 January 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
651,Program tahunan,SMKT-AD/KUR/651/2025,21 February 2025,Kurikulum,Dokumen 'Program tahunan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
652,Kartu ujian siswa,SMKT-AD/SW/652/2025,20 June 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
653,Jadwal konsultasi wali kelas,SMKT-AD/SW/653/2025,22 November 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
654,Agenda kegiatan sekolah,SMKT-AD/ADM/654/2025,13 June 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
655,Daftar siswa remedial,SMKT-AD/EVL/655/2025,12 July 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
656,Analisis hasil belajar siswa,SMKT-AD/EVL/656/2025,29 April 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
657,Daftar materi ajar,SMKT-AD/KUR/657/2025,30 September 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
658,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/658/2025,20 March 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
659,SK pemberhentian sementara,SMKT-AD/KPG/659/2025,18 October 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
660,Daftar siswa remedial,SMKT-AD/EVL/660/2025,25 February 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
661,Laporan monitoring kegiatan,SMKT-AD/EVL/661/2025,20 January 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
662,Laporan hasil wawancara siswa,SMKT-AD/EVL/662/2025,30 January 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
663,Modul pembelajaran,SMKT-AD/KUR/663/2025,02 June 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
664,Laporan keuangan semester,SMKT-AD/KUG/664/2025,18 June 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
665,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/665/2025,29 June 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
666,Rekap data guru dan staf,SMKT-AD/KPG/666/2025,08 September 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
667,Notulen rapat,SMKT-AD/ADM/667/2025,29 June 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
668,Kalender akademik,SMKT-AD/AKD/668/2025,27 April 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
669,Laporan hasil rapat,SMKT-AD/ADM/669/2025,01 June 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
670,Laporan monitoring kegiatan,SMKT-AD/EVL/670/2025,19 March 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
671,Daftar siswa remedial,SMKT-AD/EVL/671/2025,17 November 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
672,Panduan penilaian,SMKT-AD/KUR/672/2025,12 January 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
673,Panduan penilaian,SMKT-AD/KUR/673/2025,13 December 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
674,Surat tugas panitia,SMKT-AD/ADM/674/2025,20 August 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
675,Daftar materi ajar,SMKT-AD/KUR/675/2025,21 October 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
676,Jadwal piket guru,SMKT-AD/KPG/676/2025,01 January 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
677,Rencana pengembangan kurikulum,SMKT-AD/KUR/677/2025,30 October 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
678,Kalender akademik,SMKT-AD/AKD/678/2025,15 February 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
679,Rencana perbaikan gedung,SMKT-AD/SRP/679/2025,12 June 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
680,Form penilaian sikap siswa,SMKT-AD/EVL/680/2025,21 January 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
681,Laporan hasil konseling,SMKT-AD/SW/681/2025,06 March 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
682,Laporan hasil rapat,SMKT-AD/ADM/682/2025,24 December 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
683,Rekap penilaian akhir,SMKT-AD/EVL/683/2025,17 June 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
684,Foto dokumentasi perbaikan,SMKT-AD/SRP/684/2025,04 August 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
685,Panduan penilaian,SMKT-AD/KUR/685/2025,09 December 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
686,Formulir pendaftaran siswa baru,SMKT-AD/SW/686/2025,06 April 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
687,Rekap barang masuk dan keluar,SMKT-AD/SRP/687/2025,13 April 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
688,Jadwal ujian akhir semester,SMKT-AD/AKD/688/2025,13 December 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
689,Laporan praktik kerja lapangan,SMKT-AD/AKD/689/2025,19 February 2025,Akademik,Dokumen 'Laporan praktik kerja lapangan' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
690,Laporan pemeliharaan sarana,SMKT-AD/SRP/690/2025,02 March 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
691,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/691/2025,24 March 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
692,SK pemberhentian sementara,SMKT-AD/KPG/692/2025,17 December 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
693,Daftar siswa remedial,SMKT-AD/EVL/693/2025,13 December 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
694,Formulir pendaftaran siswa baru,SMKT-AD/SW/694/2025,18 November 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
695,Rencana pengadaan barang,SMKT-AD/KUG/695/2025,08 February 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
696,Data sertifikasi guru,SMKT-AD/KPG/696/2025,31 May 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
697,Laporan praktik kerja lapangan,SMKT-AD/AKD/697/2025,10 February 2025,Akademik,Dokumen 'Laporan praktik kerja lapangan' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
698,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/698/2025,23 November 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
699,Jadwal ujian akhir semester,SMKT-AD/AKD/699/2025,25 October 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
700,Surat tugas panitia,SMKT-AD/ADM/700/2025,19 July 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
701,Bukti penerimaan sumbangan,SMKT-AD/KUG/701/2025,05 March 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
702,SK pengangkatan guru,SMKT-AD/KPG/702/2025,04 August 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
703,Jadwal pelajaran semester genap,SMKT-AD/AKD/703/2025,10 November 2025,Akademik,Dokumen 'Jadwal pelajaran semester genap' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
704,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/704/2025,12 October 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
705,Formulir mutasi siswa,SMKT-AD/SW/705/2025,14 March 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
706,Foto dokumentasi perbaikan,SMKT-AD/SRP/706/2025,16 March 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
707,Panduan penilaian,SMKT-AD/KUR/707/2025,10 April 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
708,Proposal kegiatan sekolah,SMKT-AD/ADM/708/2025,13 July 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
709,Silabus pembelajaran,SMKT-AD/KUR/709/2025,20 March 2025,Kurikulum,Dokumen 'Silabus pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
710,Surat pernyataan kerja sama,SMKT-AD/ADM/710/2025,18 October 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
711,Analisis hasil belajar siswa,SMKT-AD/EVL/711/2025,03 December 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
712,Rekap nilai ujian praktik,SMKT-AD/EVL/712/2025,08 March 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
713,Jadwal piket guru,SMKT-AD/KPG/713/2025,10 September 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
714,Rencana pengembangan kurikulum,SMKT-AD/KUR/714/2025,27 January 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
715,Surat pemberitahuan kelulusan,SMKT-AD/SW/715/2025,01 January 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
716,Laporan hasil rapat,SMKT-AD/ADM/716/2025,05 June 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
717,Daftar guru pengajar,SMKT-AD/AKD/717/2025,03 June 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
718,Laporan hasil wawancara siswa,SMKT-AD/EVL/718/2025,03 February 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
719,Surat tugas panitia,SMKT-AD/ADM/719/2025,15 July 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
720,Kalender akademik,SMKT-AD/AKD/720/2025,03 November 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
721,Formulir cuti pegawai,SMKT-AD/KPG/721/2025,09 September 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
722,Laporan hasil rapat,SMKT-AD/ADM/722/2025,12 February 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
723,Analisis hasil belajar siswa,SMKT-AD/EVL/723/2025,13 April 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
724,Modul pembelajaran,SMKT-AD/KUR/724/2025,01 May 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
725,Foto dokumentasi perbaikan,SMKT-AD/SRP/725/2025,20 April 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
726,Jadwal ujian akhir semester,SMKT-AD/AKD/726/2025,28 April 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
727,Formulir pendaftaran siswa baru,SMKT-AD/SW/727/2025,26 January 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
728,Silabus pembelajaran,SMKT-AD/KUR/728/2025,16 June 2025,Kurikulum,Dokumen 'Silabus pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
729,Data sertifikasi guru,SMKT-AD/KPG/729/2025,09 September 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
730,Rencana perbaikan gedung,SMKT-AD/SRP/730/2025,28 July 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
731,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/731/2025,08 December 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
732,Jadwal konsultasi wali kelas,SMKT-AD/SW/732/2025,05 March 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
733,Daftar fasilitas olahraga,SMKT-AD/SRP/733/2025,11 February 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
734,Surat edaran sekolah,SMKT-AD/ADM/734/2025,03 February 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
735,Data sertifikasi guru,SMKT-AD/KPG/735/2025,06 October 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
736,Jadwal ujian tengah semester,SMKT-AD/AKD/736/2025,18 February 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
